isrc,upc,track_title,artist,label,home_market,dsp,territory,reporting_period,streams,revenue_usd,currency,transaction_id
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,NG,2024-Q3,2970492,1188.19704,USD,fd77ac33-bb05-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GB,2024-Q3,1773084,6737.72148,USD,95244f7a-a6d6-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,US,2024-Q3,748862,2995.448,USD,3972be93-a45c-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GH,2024-Q3,555235,111.047,USD,7483205f-3125-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,KE,2024-Q3,481956,192.7824,USD,ba35e7b5-39ee-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,FR,2024-Q3,409983,1229.949,USD,6cb84178-617c-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,AE,2024-Q3,351939,915.0414,USD,b820633e-8bf7-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,ZA,2024-Q3,161950,242.925,USD,0925b999-5e56-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,EG,2024-Q3,168701,67.4804,USD,ef244350-4a1d-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,NG,2024-Q3,1290437,903.30618,USD,b9e6eb06-649d-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GB,2024-Q3,808353,5254.2945,USD,65b740ef-9df8-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,US,2024-Q3,337504,2362.528,USD,9560e974-4898-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GH,2024-Q3,247969,99.1876,USD,901a5cc4-e7c4-45
